firma,adresse,postcode,city,geometry,phone,Ackerland,Hopfen,Gruenland,Wald,Gemuese,Energie,Obst,Blumen,Gewuerze,Wein
Gerhard Zöls,Oberindling 45,94060,Pocking,POINT (48.40961205 13.345998367001316),08531-8161,< 500,,,,,,,,,
Kurz Josef und Barbara GbR,Nonnberg 5,84568,Pleiskirchen,POINT (48.3467979 12.6184794),08728-452,< 100,,< 50,< 50,,,,,,
Dieter Horlacher,Gadewitz 10,04720,Großweitzschen,POINT (51.1592048 13.1364698),0177-4435161, < 50,,< 50,,,,,,,
Lorenz Rothlehner,Rampelsberg 1,84180,Loiching,POINT (48.570710399999996 12.429473448894617),0160-96258455, < 50,,,< 50,,,,,,
Landwirtschaft Angstl Postau,Hauptstraße 23,84103,Postau,POINT (48.6486861 12.32474644896373),0176-61934884,< 100,,< 50,< 50,,,,,,
Ludes,Haferstraße 4,53881,Euskirchen-Billig,POINT (50.6292962 6.776678317586501),02251-62292,,,,,,,,,,
Hombach Hof - Familie Kattau,Am Hombach 12,27211,Bassum-Nordwohlde,POINT (52.90727235 8.730286381910066),04249-251,< 500,,< 50,< 50,,"<span class=""textformatter-list"">Biogas, Photovoltaik</span>",,,,
Christian Egger,St.-Georg-Straße 27A,83024,Rosenheim,POINT (47.8791994 12.125297313032583),08031-231900,,,,,,,,,,
Landwirtschaftsbetrieb Axel Wachs,Sömnitzer Ring 1,04749,Ostrau,POINT (51.20610355 13.0953296),0171-6452542,< 500,,,,< 50,,< 5,,,
Hebachhof,Hebachhof,64850,Schaafheim,POINT (49.8962844 9.0094342),06073-9405,< 100,,< 50,,,,,,,
Schacherbauer Thanham,Thanham 15,94086,Bad Griesbach,POINT (48.48707365 13.232699869481495),0170-7606693,< 100,,,< 50,,,,,,
Voss-Fels,Buchenweg 4,61267,Neu-Anspach,POINT (50.29430145 8.507935506412512),06081-57114,,,,,,,,,,
Matthias Rott,Kleinschwindau 19,84427,St. Wolfgang,POINT (48.24276805 12.151706371757072),08085-187522, < 50,,< 50,< 50,,,,,,
Gutes vom Meierhof,Evenhausen 19,33818,Leopoldshöhe,POINT (51.9989985 8.6949447),05208-243, < 50,,< 50,< 50,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Resl Helmut,Hellham 8,94094,Rotthalmünster,POINT (48.404589 13.161274),,< 100,,< 50,< 50,,,,,,
Richard Hofbauer,Moos 1,94086,Bad Griesbach,POINT (48.447308 13.160956),,< 100,,,,,,,,,
RF-Landwirtschaft,Eggersdorf 1,94121,Salzweg,POINT (48.6102516 13.4496736),0851-9668251,,,< 50,< 50,< 5,,< 5,,,< 1
Bernhard Lex,Bernhard Lex,85469,Walpertskirchen,,,< 500,,< 50,< 50,,,,,,
Wallnerhof,Wallner 1,94094,Rotthalmünster,POINT (48.3465425 13.127444410602038),08536-862, < 50,,,< 50,,,,,,
Matthias Wolferstetter,Waltenham 3,84558,Tyrlaching,POINT (48.050396 12.6223209),08623-987897,,,,,,,,,,
Anton Paul,Alsterloh 1,83109,Großkarolinenfeld,POINT (47.9159509 12.0472218),0175-5601874,,,,,,,,,,
Braband Tölle GbR,Rickbruch 3,32699,Extertal,POINT (52.1166106 9.099494474131124),05754-323,< 500,,,,,,,,,
Gut Landershausen,Im Oberdorf 2,36277,Schenklengsfeld,POINT (50.8045037 9.815155356239469),,< 500,,,< 50,,,,,,
Markus Jehle,Winterbach 28,88263,Horgenzell,POINT (47.7954997 9.482060196218697),0171-5754539,< 100,,< 100,< 50,,,< 5,,,
Schrollhof,Neuhausen 2,84431,Rattenkirchen,POINT (48.2291501 12.304981),, < 50,,,< 50,,,,,,
Kettler GbR,Schönaustraße 9,97486,Königsberg,POINT (50.0917305 10.5718292),09525-981027,< 500,,,< 50,,,,,,
Hubert Wochinger,Rahhof 1,84389,Postmünster,POINT (48.4237334 12.8636284),08561-989446, < 50,,< 50,< 50,,,,,,
"Langreiter, Vorner",Vorner 67,84565,Oberneukirchen,POINT (48.1640163 12.5011443),08630-237, < 50,,< 50,< 50,,,,,,
Brand,Hauptstraße 10,31603,Diepenau-Lavelsloh,POINT (52.42148445 8.736974230700767),,< 500,,,< 50,,,,,,
Getrud Bäurle,Hauptstraße 41,73457,Essingen,POINT (48.80711475 10.022340970193827),07365-919170,,,,,,,,,,
Bettina Braun,Reutershau 1,73497,Tannhausen,POINT (48.9821321 10.3521278),07964-629,,,,,,,,,,
BUG AGRAR GbR,Rexer Straße 2,36100,Petersberg,POINT (50.5528676 9.7577616),0661-61219,,,,,,,,,,
Jürgen Langreck,Meinersheide 24,33378,Rheda-Wiedenbrück,POINT (51.87213065 8.283644528873698),05242-44495,< 100,,,,,,,,,
Fam. Johannes Meschar,Am unteren Teich 1,34393,Grebenstein,POINT (51.438475 9.4008345),,< 100,,,,,,,,,
Christian und Bärbel Stange,Lehmkaute 36,37284,Waldkappel Bischhausen,POINT (51.1362522 9.930136),05658-92033,< 500,,< 50,< 50,,,,,,
"Agrar-Genossenschaft ""Krevese-Drüsedau"" eG",Hauptstraße 51,39606,Hansestadt Osterburg,,03937-210070,< 2000,,< 500,< 50,,"<span class=""textformatter-list"">Biogas, Photovoltaik</span>",,,,
Hof Gümbel,Schlüchter Graben 1,34393,Grebenstein,POINT (51.4536047 9.418385334248928),05674-5735,< 500,,< 50,,,,,,,
GbR Quellenhof,Quellensteuern 1,65321,Heidenrod,,0160-97945420,< 500,,< 50,,,,,,,
Landwirtschaftsbetrieb Dinges,Weimarer Straße 21,34379,Calden,POINT (51.38542355 9.363915099858142),,< 100,,< 100,,,,,,,
Landwirtschaftsbetrieb Mandelkow,Bandelow 75,17337,Uckerland,POINT (53.4151842 13.8520567),039740-20405,< 500,,< 50,,,,,,,
Milchviehbetrieb Winkler,Eglafing 1,84405,Dorfen,POINT (48.3034142 12.1252142),08081-957620, < 50,,< 50,< 50,,,,,,
Hof Oldenburg ,Voigtei 11,31595,Steyerberg,POINT (52.6052268 8.9341222),,< 500,,< 50,< 50,< 50,,,,,
Stefan Lind,Lindenhof 1,34376,Immenhausen,,05673-7535,,,,,,,,,,
"Agrar-Genossenschaft ""Altmärkische Höhe"" eG",Lückstedt Nr. 77,39606,Altmärkische Höhe,,039391-281,> 2000,,< 2000,,,,,,,
Ortwin Jung,In den Hirschgärten 2,35516,Münzenberg,POINT (50.4516806 8.773850718736018),0150-23071911,,,,,,,,,,
Rittergut Bode,Bode,29582,Hanstedt,POINT (53.0308187 10.3433356),05822-3906,,,,,,,,,,
Schneider Landwirtschaft GbR,Friedrichshof,63584,Gründau,POINT (50.205913800000005 9.09582644659055),06058-910513,,,,,,,,,,
Erdbeerkulturen Schäfer,Graf Otto Strasse 20,53501,Grafschaft-Eckendorf,POINT (50.592542 7.0572975),02225-7976,< 100,,,,,,< 50,,,
Philip Loch,Michelbacher Straße 8,35041,Marburg-Michelbach,POINT (50.845033099999995 8.709051190356629),, < 50,,< 50,,,,,,,
Grünsteff'l Hof,Göbertsham 6,94496,Ortenburg,POINT (48.5324339 13.2701201),08502-3782, < 50,,< 50,< 50,,,< 5,,,
Penninger,Urlharting 1,94081,Fürstenzell,,08506-232,< 100,,,< 50,,,,,,
Gut Schmölln,Schmölln 19c,17291,Randowtal,POINT (53.3006594 14.1041142),0172-3586348,< 500,,< 500,< 50,,,,,,
Ehler Meyer,Kroger Straße 5,31608,Marklohe,POINT (52.6459631 9.1487013),05021-3879,< 500,,,< 50,,,,,,
Hubert Kucher,Fayencestraße 35,73479,Ellwangen-Schrezheim,POINT (48.950966449999996 10.115666051045899),,,,,,,,,,,
Direktvermarktung Gebhardt GmbH,Schafgasse 9,99820,Hörselberg-Hainich,POINT (50.9444784 10.4784919),03622-907255,,,< 100,,< 5,,,,,
Heinrich Wetekam,Massenhäuser Straße 12,34519,Diemelsee,POINT (51.3847435 8.8957527),02993-1333,,,,,,,,,,
Fam. Schimmele GbR,Harthausen,73485,Unterschneidheim,POINT (48.9322062 10.3868281),07966-8036161,,,,,,,,,,
Stallbaum GbR,Ernst-Thälmann-Straße 12,39606,Iden,POINT (52.78239775 11.911862249999999),0173-6154934,< 500,,,< 50,< 5,,< 50,,,
AG Schönfeld eG,Dom 1,39524,Kamern ,POINT (52.7265209 12.0585707),039382-208,,,,,,,,,,
Agrarprodukte Großvargula,Kleinvargulaer Straße 143,99958,Großvargula,POINT (51.1180189 10.7837176),036042-7010,,,,,,,,,,
Dr. Friedrich Oberkrome-Tasche,Lückhausen 8,32791,Lage,POINT (52.02536405 8.815639800263519),0171-1711797,,,,,,,,,,
Haneke,Saumer 1,37696,Marienmünster,POINT (51.8396681 9.2976871),05277-952238,,,,,,,,,,
Bernhard und Marianne Groß,Pettenau 1,94140,Ering/Inn,POINT (48.297776 13.1055447),08573-91045,< 100,,< 50,< 50,,,,,,
Christian Auer,Oberwinkl 1,84558,Kirchweidach,POINT (48.123313 12.63596),08623-919617,< 100,,< 50,,,,,,,
Landwirtschaftsbetrieb Claus Herold,Friedensstraße 77a,37318,Lenterode,,036083-42661,< 500,,< 50,,,,,,,
Milchviehbetrieb Haunerdinger,Froschham 27,83410,Laufen,POINT (47.9258302 12.9055437),, < 50,,< 50,< 50,,,,,,
Agrarbetrieb Döhne,Winkelweg 17,34466,Wolfhagen,POINT (51.304611 9.227454),05692-990190,< 500,,< 50,,,,,,,
Horringa Hof,Hardt 1,94140,Ering,POINT (48.292860700000006 13.122464377396728),0160-8065106,< 100,,< 50,< 50,,,,,,
Karsten u. Ulrich Vogel,Eichwiesenweg 5,34621,Frielendorf,POINT (50.975899999999996 9.323977304358104),05684-930240,< 100,,,,,,,,,
Leipold,Halsbach 2,36157,Ebersburg,POINT (50.4891721 9.7710964),06656-8537,,,,,,,,,,
Russell'sche Guts- und Forstverwaltung Hohenborn,Gut Hohenborn 1,34289,Zierenberg,POINT (51.4207021 9.279369012420972),05606-53783,,,,,,,,,,
"Agrargesellschaft ""Am Dün"" mbH",Riethchaussee 5,37327,Wingerode,POINT (51.3845302 10.2456632),03605-54400,< 2000,,,,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Landwirtschaft &amp; Direktvermarktung,Milbitz 11,07407,Rudolstadt,POINT (50.7757491 11.2906248),0172-9031648,< 500,,< 100,< 50,,,,,,
Agrargesellschaft Harzungen mbH,Dorfstraße 9,99768,Harztor ,POINT (51.55593735 10.806558118995238),036331-42120,< 2000,,< 500,,,,,,,
Mayerhofer Thalham,Thalham 3,94072,Bad Füssing,POINT (48.3120319 13.2797131),0151-19661534, < 50,,,< 50,,,,,,
Rittergut Oberweimar,Koblenzer Straße 1,35096,Oberweimar,POINT (50.7572991 8.704708810990038),0177-7541037,,,,,,,,,,
Gut Birschels,Vohwinkelerstraße 63,42781,Haan,POINT (51.218138499999995 7.028536357352479),0172-2001812,< 500,,< 50,,,,,,,
Josef und Dominik Bäumel GbR,Landshuter Straße 14,93083,Obertraubling,POINT (48.96462365 12.16673925),0151-58749577,< 100,,,,< 10,,,,,
Rinderzuchtbetrieb Brühlhof,Brühlhof,65843,Sulzbach,,06196-71883,< 100,,< 100,,,,,,,
Frank Plock-Girmann,Wolperode 34,37581,Bad Gandersheim,POINT (51.88374035 10.059597562458404),05382-9694013,< 100,,,,,,,,,
Riermeier ,Gstetten 2,94060,Pocking,POINT (48.417866 13.321931),08531-4445,< 500,,,< 50,,,,,,
Agrargenossenschaft Gleina,Baumersrodaer Weg 3b,06632,Gleina,POINT (51.2596872 11.7251798),0162-2530415,,,,,,,,,,
Jürgen Hofsommer,Kirchweg 10,34399,Oberweser,,05574-659,,,,,,,,,,
Rettenmaier,Eichenrain 1,73489,Jagstzell-Eichenrain,,07967-710966,,,,,,,,,,
Rittergut Hornoldendorf,Rittergutsweg 1,32760,Detmold,POINT (51.9060063 8.892403327419355),05231-469 260,< 2000,,< 50,< 500,,,,,,
Gut Ellingerode,Kirchstraße 9,37217,Witzenhausen-Ellingerode,POINT (51.3297056 9.8204221),05542-5665,< 500,,,,,,,,,
Wetterauer Früchtchen,"Reuhl, Klaus V. und Maximilian",35516,Münzenberg/Gambach,,06033-970323,< 500,,,,< 50,"<span class=""textformatter-list"">Photovoltaik</span>",< 100,,,
Gut Scheifenhaus,Zur alten Brennerei 40,42781,Haan,POINT (51.22038325 7.018180206982944),0172-4006660, < 50,,< 50,< 50,,,,,,
Buschhaus,Aerbeckerstraße 3,47669,Wachtendonk,POINT (51.4001177 6.3238286),02836-310,< 100,,< 50,,,,,,,
LA-PRO-HA mbH,Cretzschwitz 19,07554,Gera,POINT (50.9424228 12.13190565),036695-20340,,,,,,,,,,
Landwirtschaftsbetrieb Helmut Bangert,Vellmarer Weg 1,34314,Espenau,POINT (51.3912609 9.471929),0172-5605415, < 50,,< 50,< 50,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Bernhard Krautenbacher,Mooswinkeln 1a,84529,Tittmoning,POINT (48.0605194 12.7342929),, < 50,,< 50,< 50,,,,,,
Christiane und Ingo Henkel,Hatzbacher Straße 10a,35260,Stadtallendorf-Erksdorf,POINT (50.8606902 9.023585),0173-3127137,,,,,,,,,,
Einhart im Brahm,Landsberger Straße 105,45219,Essen,POINT (51.360962799999996 6.925285462508437),02054-5125,,,,,,,,,,
Annette im Brahm,Mendener Straße 280,45470,Mülheim,POINT (51.38238955 6.904568238440402),02054-5125,,,,,,,,,,
Aue Spitzöd,Spitzöd 1,94081,Fürstenzell,POINT (48.498492 13.3563559),08502-782,< 500,,< 50,< 50,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Sickinger Bibing,Bibing 1,94081,Fürstenzell,,0160-98240186,< 100,,,< 50,,,,,,
Georg Biedemann,Rickenweg 3,47626,Kevelaer,POINT (51.60872685 6.329385970891896),02838-96411,,,,,,,,,,
Albert Wendt,Eschenhausen15,27211,Bassum,,04241-2911, < 50,,< 50,< 50,,,,,,
Hof Lötzerich,Auf dem Hasenlehn 1,34270,Schauenburg,POINT (51.2918534 9.2913942),05601-920087,< 500,,< 100,,,,,,,
Helmut Rüttger,Bülthausen 23,40822,Mettmann,POINT (51.2696911 6.970333920808562),02104-52372,< 500,,< 50,,,,,,,
Link,Külos Nr. 3,36160,Dipperz,POINT (50.5414223 9.819961748420045),06657-258,,,,,,,,,,
Günther Friedrich,Soodehöfe 1,34369,Hofgeismar,POINT (51.4923983 9.4720603),,,,,,,,,,,
Dirk Monstadt,Gershäuser Hof 1,34537,Bad Wildungen,POINT (51.0570823 9.1250977),05626-925049,,,,,,,,,,
Dorothea Weitz-von Behr,Schwarzer Weg 2,27336,Häuslingen,POINT (52.8152422 9.3592513),0160-96030632,< 500,,,,,,,,,
Baier Agrar GbR,Untere Straße 20,89143,Blaubeuren,POINT (48.3801622 9.8057941),07344-7663,< 100,,,< 50,,,,,,
Lernbauernhof Thomas Maurer,Bienäcker 4,61352,Bad Homburg,POINT (50.2207495 8.65629565),0172-6712983, < 50,,< 50,,,,,,,
Johannes Brünker Landwirt-Pferdepension,Hohn 22,53913,Swisttal,POINT (50.682525350000006 6.949505759472046),02226-2617,< 100,,< 50,< 50,,,,,,
Domäne Maberzell,Domäne Maberzell,36041,Fulda,,0661-9529880,< 500,,,< 50,,,,,,
Geislberger Manertsöd,Manertsöd 1,94094,Rotthalmünster,POINT (48.3737859 13.2190863),08533-582, < 50,,,< 50,,,,,,
Uwe Roth,Birkenhof,37281,Wanfried,POINT (51.1825144 10.18079698086549),0160-90534046,,,,,,,,,,
Sonnenscheinshof,An der Pierburg 44,45219,Essen-Kettwig,POINT (51.38259825 6.948376082734113),02054-3339,< 500,,< 50,,,,,< 5,,
Martin Homburg,Hauptstraße 16,34292,Ahnatal,POINT (51.3668042 9.4202552),05609-808606,,,,,,,,,,
Unterbuchhof,Unterbuch 1,88489,Wain,POINT (48.1773099 10.024767482296012),07353-1442,< 100,,,,,,,,,
Kömpel GbR - Landwirtschaft,Aussiedlerhof 1,36137,Großenlüder,POINT (50.5734495 9.555947),0170-4145753,,,,,,,,,,
Kneer &amp; Kuhles Landwirtschafts GbR,Zwingenberger Weg 82,42489,Wülfrath,POINT (51.29936995 6.9930628436179525),02058-2452,< 500,,< 50,,,,,,,
Bauernhof Seiboldt,Alt-Niedereschbach 1,60437,Frankfurt am Main Nieder-Eschbach,POINT (50.2009183 8.674876500139128),069-5073854,< 100,,< 50,< 50,,,< 5,,,
Landgut Petershof,Petershof,65385,Rüdesheim,POINT (49.99756935 7.918885998992296),06722-47645,,,,,,,,,,
Sonnenhof,Rommelhäuser Straße 8,61130,Nidderau-Ostheim,POINT (50.2279232 8.9096098),0179/9317934, < 50,,< 50,,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Berghs-Trienekens,Boekholter Weg 45,47638,Straelen,POINT (51.436941950000005 6.286323303212972),02834-984654,,,,,,,,,,
Prediger,Rathausstraße 14,35112,Fronhausen,POINT (50.704095300000006 8.693054547617265),06426-921230,,,,,,,,,,
Hof Nagel,Zum Sportfeld 34,63667,Nidda,POINT (50.40375245 8.970849749005549),06043-405299,< 100,,< 50,,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Dairy Farm Michel GbR,Wildunger Landstraße 4,34477,Twistetal-Elleringhausen,POINT (51.3227879 9.0077399),0160-91569990, < 50,,< 100,,,,,,,
Brachts Wurstekammer,Brunnenstraße 14,34516,Vöhl-Basdorf,POINT (51.2038675 8.9801812),0172-5627249,< 100,,< 50,,,,,,,
Christian Vering,Dehausen 42,34474,Diemelstadt,POINT (51.4562047 9.0416676),05694-8054,,,,,,,,,,
Henning Hillebrand,Gründefeld 4,34385,Bad Karlshafen,POINT (51.6153564 9.4254751),05672-921702,,,,,,,,,,
Ingo Baake,Breunaer Straße 3,34479,Breuna-Wettesingen,POINT (51.4487446 9.1889384),0172-5651567,< 500,,,,,,,,,
Groh,Rückerspfad 4,65510,Idstein,POINT (50.246488299999996 8.25386499685919),06126-71803,< 500,,,,,,,,,
Thomas Schaub,Bahnhofstraße 27,34270,Schauenburg,POINT (51.27421715 9.36779450929589),,,,,,,,,,,
Gipper,Frankenstraße 6,34587,Felsberg-Gensungen,POINT (51.1297716 9.4345987),05662-4790,< 500,,,,,,,,,
Erlenhof - Winfried Müller ,Hauptstraße 50,36137,Müs,POINT (50.59020245 9.50158696401035),06648-6826,,,,,,,,,,
Justlhof,Oberindling 44,94060,Pocking,POINT (48.4091634 13.346684405673617),0151-57539883,< 100,,,< 50,,,< 5,,,
Kehmeier Agrar,Asmissen 4,32699,Extertal,POINT (52.0704255 9.10330812000807),0170-9957540,< 100,,< 50,,,,,,,
Schneidhuber Loipertsham,Loipertsham 4,94081,Fürstenzell,POINT (48.5134724 13.2873574),08506-923428,< 100,,< 50,< 50,,,,,,
Stolz GbR,Kapellenweg 9,89160,Dornstadt,POINT (48.462643299999996 9.907865149394102),07304-7236,,,,,,,,,,
Landwirtschaftlicher Betrieb Freiwald,Osteroda Nr. 56,04916,Herzberg,POINT (51.6758286 13.3005117),03535-21760,< 500,,< 100,< 50,,,,,,
Bockinger Rotthof,Rotthof 17,94099,Ruhstorf,POINT (48.4301811 13.318033039943684),,< 100,,< 50,< 50,,,,,,
Fischer Gemüse GmbH &amp; Co. KG,Rudolstädter Straße 93,99099,Erfurt,POINT (50.9665492 11.0695522),0361-5514885, < 50,,,,< 50,,< 5,< 5,,
Burkhardt Florian,Mühlweg 6,74585,Rot am See,POINT (49.2653437 10.0632901),07958-9269736, < 50,,,< 50,,,,,,
Decker Agrar GbR / Rollrasen Decker,Berlich 15,50259,Pulheim,POINT (51.0200954 6.756645122197799),01520-4683967,< 500,,,,,,,,,
Siebert,Am Tiergarten 4,36110,Schlitz - Pfordt,POINT (50.656843550000005 9.596992234204391),06642-1326,< 500,,< 500,< 50,,,,,,
"Agrargenossenschaft ""Bergland"" Clausnitz",Hauptstraße 13,09623,Rechenberg-Bienenmühle,POINT (50.7483239 13.493663),037327-83930,< 2000,,< 500,< 100,,,,,,
Landwirtschaft &amp; Gemüsebau,Patershäuser Str.6,63150,Heusenstamm,POINT (50.0584374 8.8048491),06104-777369, < 50,,< 50,,< 5,,< 5,,< 1,
Landwirtschaftlicher Betrieb Steinmann,Gut Mersheim 7,52391,Vetweiß,,02424-1341,< 100,,,,,,,,,
Steinheimer Hof,Wallufer Straße 14,65343,Eltville,POINT (50.0290219 8.1346502),,,,,,,,,,,
Nassauer Hof,Itzbachweg 21,65510,Idstein-Wörsdorf,POINT (50.2377154 8.2529813),06126-5058544,,,,,,,,,,
Landwirtschaft/Bioenergie Liesen GmbH,Schweidtweilerhof 1,52388,Nörvenich - Rommelsheim,,02421-74077,< 500,,,,,,,,,
Agrarprodukte Ludwigshof eG,Ludwigshof 14,07389,Ranis,POINT (50.6688663 11.583762),03647-44050,> 2000,,< 500,< 50,,,,,> 10,
Landwirtschaftsbetrieb Müller-Scheeßel,Dorfstraße 54,17089,Seltz,,03965-210625,< 2000,,,< 500,,,,,,
Breitkreuz KG,Schaiblesweg 1,74532,Ilshofen,POINT (49.20098195 9.850435543596241),07906-208,< 100,,< 50,< 50,,,,,,
Heribert Peters,Dingbuchenhof 1,41812,Erkelenz,POINT (51.01322315 6.322099829405026),02435-948460,,,,,,,,,,
Spargelhof Roelen,Ulmenstraße 45,41363,Jüchen,POINT (51.1049958 6.5455630186943665),0163-6508584,< 100,,,,< 10,,,< 5,,
GbR Gropp,Klockow 14,17153,Stavenhagen,POINT (53.6948405 12.9382548),039954-31267,,,,,,,,,,
Schiffer &amp; Schiffer GbR,Kaarster Straße 205b,41462,Neuss,POINT (51.227921249999994 6.642955657630678),02131-2056630, < 50,,,,,,,,,
Georg Wernke-Schmiesing,Hüde 5,49401,Damme,POINT (52.5203981 8.2817585),0151-44275700,,,,,,,,,,
Seeger,Felsenerstraße 34a,49179,Ostercappeln,POINT (52.3642793 8.2219455),05473-2637,,,,,,,,,,
Heinrich Böckermann,Kemphausen 12,49401,Damme,POINT (52.514825 8.2485573),05491-2235,,,,,,,,,,
Saatzucht Steinach GmbH &amp; Co KG / Betrieb Ballin und Bocksee,Zur Alten Schmiede 22,17349,Lindetal,POINT (53.456745 13.4255397),039921-71750,> 2000,,< 50,< 2000,,"<span class=""textformatter-list"">Biogas</span>",,,,
Gut Kaiserhof,Bockumer Straße 326,40489,Düsseldorf,POINT (51.3310457 6.7261065),0211-402086, < 50,,< 50,,,,,,,
Jürgen Schröder,Gramker Straße 1,49451,Holdorf-Handorf,POINT (52.55873905 8.15307903446234),05494-995100,< 500,,,< 50,,,,,,
Landwirtschaftsbetrieb Stefan Uherek,Gröbitzer Hauptstraße 17,06682,Teuchern,POINT (51.132060249999995 11.925912597488015),034445-20568,< 500,,,,,,,,,
Johannes Paas,Am Schimmersfeld 6,40880,Ratingen,POINT (51.30146915 6.8335342594613495),02102-444279,< 500,,< 50,,,,,,,
Hans Moscherosch,Seeweg,61191,Rosbach,POINT (50.2646226 8.7051279),06007-452,,,,,,,,,,
"Landgut Behrenhoff, Clausen KG",Dorfstraße 39,17498,Behrenhoff,POINT (54.004098150000004 13.395301168930649),038356-51050,,,,,,,,,,
Schöffenhof,Manheimer Straße 21,50170,Kerpen,POINT (50.86011255 6.586642973022746),02275-271,,,,,,,,,,
A. und H. Rabausch GbR,Dettinger Weg 3,89542,Bissingen o.L.,,07324-2630,,,,,,,,,,
Agrarwirtschaftsbetrieb Demsin GmbH,Dorfstraße 13,39307,Stadt Jerichow,,039348-295,< 2000,,< 500,< 50,,,,,,
M&amp;D Becker GbR,Telgerhuck 5,46499,Hamminkeln,POINT (51.72916635 6.637184342690022),0160-96916517, < 50,,< 50,< 50,,,,,,
Bernd Großmann,Reichenberger Straße 66,65510,Idstein,POINT (50.2477943 8.2520866),,,,,,,,,,,
Lübkemann,Wegerden 134,31606,Warmsen,POINT (52.4518802 8.874712),05767-1288,,,,,,,,,,
BauerBurkard,Obere Hainstraße 14,61440,Oberursel,POINT (50.20373635 8.576270517977242),06171-4744, < 50,,< 50,,,,< 5,,,
Melfsen &amp; Partner GbR,Altendeich 9,25842,Langenhorn,POINT (54.6758426 8.8538866),04674-1482, < 50,,< 500,,,,,,,
Hendlmaier,Kroißen 10,94542,Haarbach,POINT (48.5071235 13.1250443),,< 100,,,< 50,,,,,,
Hans Grombach - Landwirt und Beratung,Finkenhof 1,19258,Gresse,POINT (53.4354341 10.75644725),0172-4432383,,,,,,,,,,
Gutsverwaltung Hoof,Gutshof 1,34270,Schauenburg,POINT (51.2823175 9.3404899),0171-2291657,< 500,,< 50,< 500,,,,,,
Georg Kraske,Fettecke 6,34628,Willingshausen-Loshausen,POINT (50.8830268 9.253635),0152-03721489,,,,,,,,,,
Guido Krabbel,Martinusstraße 8,52391,Vettweiß,POINT (50.714364599999996 6.568595502272725),02424-7062,< 500,,< 50,,,,,,,
Vitalhof GbR,Ringstraße 5,88433,Schemmerhofen,POINT (48.1745384 9.787874303237682),07356-654, < 50,,< 100,,,,,,,
Willhof,Dörpstraat 4,23896,Walksfelde,POINT (53.6326394 10.5751073),04543/ 80 88 560 oder 0170/ 70 72 161,< 100,,,,< 5,,< 5,< 5,,
Häußler,Schaffelkingen 12,89081,Ulm,POINT (48.373511 9.9109037),,< 100,,< 50,< 50,,,,,,
Auf dem Horsten KG,Voigtei 7,31595,Steyerberg,POINT (52.6052268 8.9341222),05769-641801,< 500,,< 50,< 50,,,,,,
Stöckl Ludwig,Maierhof 1,94167,Tettenweis,POINT (48.4191896 13.229427948259733),,< 100,,< 50,< 50,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Schloßgut Zink,Hauptstraße 4,89610,Oberdischingen,POINT (48.3019354 9.8314892),07305-6572,,,,,,,,,,
 Franzen,Keerenweg 3,24852,Sollerup,,04625-1735,,,< 50,,,,,,,
Markus Gerauer,Gerau 2,94167,Tettenweis,POINT (48.4152437 13.248874650000001),,< 100,,,< 50,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Lindner Kemading,Kemading 3,94086,Bad Griesbach,POINT (48.4870035 13.224444),,< 100,,,< 50,,"<span class=""textformatter-list"">Photovoltaik</span>",< 5,,,
Weidehof Waldhofen,Waldhofen 2,88441,Mittelbiberach,POINT (48.110479 9.7411144),0173-6148161, < 50,,< 50,,,,,,,
Pfeifle GbR,Bannholz 1,72532,Gomadingen,POINT (48.4028346 9.4173291),, < 50,,< 100,,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Aigner Burgdobl,Burgdobl 1,94081,Fürstenzell,,,< 100,,,< 50,,,,,,
Thomas Scheurer,Im Wacholder 6,74523,Schwäbisch Hall,POINT (49.099478149999996 9.78404000938687),,,,,,,,,,,
Christoph Uhl,Nordhäuser Kirchgasse 15/2,73485,Unterschneidheim,POINT (48.9421643 10.3681234),07966-802981,< 500,,,< 50,,,,,,
Schererhof,Ilzham 11,83119,Obing,POINT (48.0047388 12.3785343),, < 50,,< 50,< 50,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Helmut Reiner-Saal,Rennweg 4,74336,Hausen an der Zaber,POINT (49.090141849999995 9.10960252492287),0171-9728765,< 100,,,,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,< 10
Joachim Kapler,Köpfingen 29,88255,Baienfurt,POINT (47.820189799999994 9.671942894522768),, < 50,,< 50,< 50,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Peisl Hilking,Hilking 1,94496,Ortenburg,,08542-520,< 100,,,< 50,,"<span class=""textformatter-list"">Photovoltaik</span>",< 5,,,
Michael Keßler,Frundeckhof 2,72160,Horb,POINT (48.4412206 8.7623739),07483-912116,< 100,,< 50,,,,,,,
